route_id,trip_id,trip_headsign,trip_direction_name
10661,1178879,U.W. HOSPITAL,Westbound
10661,1178882,U.W. HOSPITAL,Westbound
10661,1178885,U.W. HOSPITAL,Westbound
10675,1180399,PARK,Eastbound
10675,1180400,PARK,Eastbound
10675,1180401,PARK,Eastbound
10675,1180468,JUNCTION,Westbound
10675,1180469,JUNCTION,Westbound
10675,1180470,JUNCTION,Westbound
10680,1182461,CAPITAL SQUARE,Eastbound
10687,1184273,CAPITOL SQUARE,Eastbound
10687,1184274,CAPITOL SQUARE,Eastbound
10687,1184275,CAPITOL SQUARE,Eastbound
10670,1179405,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179406,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179407,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179408,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179409,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179410,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179411,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179412,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179413,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179414,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179415,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179416,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179417,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179418,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179419,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179420,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179421,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179422,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179423,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179424,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179425,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179426,U.W. HOSPITAL VIA EAGLE HEIGHTS,West Loop
10670,1179461,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179462,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179463,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179464,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179465,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179466,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179467,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179468,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179469,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179470,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179471,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179472,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179473,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179474,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179475,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179476,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179477,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179478,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179479,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179480,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179481,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179482,U.W. HOSPITAL VIA EAGLE HEIGHTS,West Loop
10671,1179691,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179692,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179693,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179694,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179695,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179696,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179697,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179698,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179699,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179700,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179701,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179702,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179703,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179704,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179705,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179706,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179707,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10672,1179771,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179770,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179765,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179764,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179763,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179762,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179761,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179760,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179759,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179758,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179757,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179755,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179756,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179766,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179767,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179768,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179769,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10671,1179708,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179709,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179710,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179711,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
