route_id,route_short_name,service_id,trip_id,trip_headsign,direction_id,trip_direction_name,block_id,shape_id,shape_code,trip_type,trip_sort,trip_short_name,block_transfer_id,wheelchair_accessible,bikes_allowed
10661,38,109_WKD,1178860,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,34260,,207300,1,1
10661,38,109_WKD,1178861,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,36060,,207302,1,1
10661,38,109_WKD,1178862,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,37860,,207301,1,1
10661,38,109_WKD,1178863,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,39660,,207300,1,1
10661,38,109_WKD,1178864,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,41460,,207302,1,1
10661,38,109_WKD,1178865,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,43260,,207301,1,1
10661,38,109_WKD,1178866,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,45060,,207300,1,1
10661,38,109_WKD,1178867,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,46860,,207302,1,1
10661,38,109_WKD,1178868,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,48660,,207301,1,1
10661,38,109_WKD,1178869,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,50460,,207300,1,1
10661,38,109_WKD,1178870,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,52260,,207302,1,1
10661,38,109_WKD,1178871,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,54060,,207301,1,1
10661,38,109_WKD,1178872,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,55860,,207300,1,1
10661,38,109_WKD,1178873,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,57660,,207302,1,1
10661,38,109_WKD,1178874,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,59580,,207301,1,1
10661,38,109_WKD,1178875,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,61380,,207300,1,1
10661,38,109_WKD,1178876,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,63180,,,1,1
10662,55,109_WKD,1178888,JUNCTION,0,Northbound,207316,63929,55eJ,,24900,,,1,1
10662,55,109_WKD,1178889,JUNCTION,0,Northbound,207315,63929,55eJ,,26700,,,1,1
10662,55,109_WKD,1178890,JUNCTION,0,Northbound,207314,63929,55eJ,,28500,,,1,1
10662,55,109_WKD,1178891,JUNCTION,0,Northbound,207313,63929,55eJ,,29700,,,1,1
10662,55,109_WKD,1178892,JUNCTION,0,Northbound,207312,63929,55eJ,,30600,,,1,1
10662,55,109_WKD,1178893,JUNCTION,0,Northbound,207311,63929,55eJ,,32400,,,1,1
10662,55,109_WKD,1178894,JUNCTION,0,Northbound,207310,63929,55eJ,,58500,,,1,1
10662,55,109_WKD,1178898,JUNCTION,0,Northbound,207306,63929,55eJ,,60300,,,1,1
10662,55,109_WKD,1178895,JUNCTION,0,Northbound,207309,63929,55eJ,,62100,,,1,1
10662,55,109_WKD,1178896,JUNCTION,0,Northbound,207308,63929,55eJ,,63900,,,1,1
10662,55,109_WKD,1178897,JUNCTION,0,Northbound,207307,63929,55eJ,,66300,,,1,1
10662,55,109_WKD,1178902,EPIC CAMPUS,1,Southbound,207312,63930,55jE,,23220,,207312,1,1
10662,55,109_WKD,1178899,EPIC CAMPUS,1,Southbound,207311,63930,55jE,,25020,,207311,1,1
10662,55,109_WKD,1178900,EPIC CAMPUS,1,Southbound,207316,63930,55jE,,26820,,207316,1,1
10662,55,109_WKD,1178901,EPIC CAMPUS,1,Southbound,207315,63930,55jE,,28620,,207315,1,1
10662,55,109_WKD,1178903,EPIC CAMPUS,1,Southbound,207314,63930,55jE,,30420,,207314,1,1
10662,55,109_WKD,1178904,EPIC CAMPUS,1,Southbound,207310,63930,55jE,,60120,,207310,1,1
10662,55,109_WKD,1178905,EPIC CAMPUS,1,Southbound,207317,63930,55jE,,61020,,207317,1,1
10662,55,109_WKD,1178906,EPIC CAMPUS,1,Southbound,207306,63930,55jE,,61920,,207306,1,1
10662,55,109_WKD,1178907,EPIC CAMPUS,1,Southbound,207309,63930,55jE,,63720,,207309,1,1
10662,55,109_WKD,1178908,EPIC CAMPUS,1,Southbound,207308,63930,55jE,,65520,,207308,1,1
10668,65,109_WKD,1179029,U.W. HOSPITAL,0,Northbound,207426,63996,65fU,,22440,,,1,1
10668,65,109_WKD,1179030,U.W. HOSPITAL,0,Northbound,207425,63996,65fU,,24240,,,1,1
10668,65,109_WKD,1179031,U.W. HOSPITAL,0,Northbound,207427,63996,65fU,,26040,,,1,1
10668,65,109_WKD,1179032,U.W. HOSPITAL,0,Northbound,207426,63996,65fU,,27840,,,1,1
10668,65,109_WKD,1179033,U.W. HOSPITAL,0,Northbound,207425,63996,65fU,,29640,,,1,1
10668,65,109_WKD,1179034,U.W. HOSPITAL,0,Northbound,207424,63996,65fU,,59100,,,1,1
10668,65,109_WKD,1179035,U.W. HOSPITAL,0,Northbound,207423,63996,65fU,,60900,,,1,1
10668,65,109_WKD,1179040,FITCHBURG,1,Southbound,207426,63997,65uF,,25200,,207426,1,1
10668,65,109_WKD,1179041,FITCHBURG,1,Southbound,207425,63997,65uF,,27000,,207425,1,1
10668,65,109_WKD,1179036,FITCHBURG,1,Southbound,207424,63997,65uF,,56400,,207424,1,1
10668,65,109_WKD,1179037,FITCHBURG,1,Southbound,207423,63997,65uF,,58200,,207423,1,1
10668,65,109_WKD,1179038,FITCHBURG,1,Southbound,207428,63997,65uF,,60000,,,1,1
10668,65,109_WKD,1179042,FITCHBURG,1,Southbound,207424,63997,65uF,,61800,,,1,1
10668,65,109_WKD,1179039,FITCHBURG,1,Southbound,207423,63997,65uF,,63600,,,1,1
10669,75,109_WKD,1179054,CADDIS,0,Eastbound,207432,63998,75eC,,24000,,,1,1
10669,75,109_WKD,1179043,CAPITOL SQUARE,0,Eastbound,207312,63999,75eQ,,24600,,207312,1,1
10669,75,109_WKD,1179055,CADDIS,0,Eastbound,207431,63998,75eC,,25800,,,1,1
10669,75,109_WKD,1179044,CAPITOL SQUARE,0,Eastbound,207311,63999,75eQ,,26400,,207311,1,1
10669,75,109_WKD,1179056,CADDIS,0,Eastbound,207432,63998,75eC,,27600,,,1,1
10669,75,109_WKD,1179045,CAPITOL SQUARE,0,Eastbound,207316,63999,75eQ,,28200,,,1,1
10669,75,109_WKD,1179057,CADDIS,0,Eastbound,207431,63998,75eC,,29400,,,1,1
10669,75,109_WKD,1179046,CAPITOL SQUARE,0,Eastbound,207315,63999,75eQ,,30000,,,1,1
10669,75,109_WKD,1179058,CAPITOL SQUARE,0,Eastbound,207432,63999,75eQ,,31200,,,1,1
10669,75,109_WKD,1179047,CAPITOL SQUARE,0,Eastbound,207314,63999,75eQ,,31800,,,1,1
10669,75,109_WKD,1179059,CAPITOL SQUARE,0,Eastbound,207431,63999,75eQ,,33300,,,1,1
10669,75,109_WKD,1179048,CAPITOL SQUARE,0,Eastbound,207307,63999,75eQ,,60300,,207307,1,1
10669,75,109_WKD,1179060,CADDIS,0,Eastbound,207429,63998,75eC,,60900,,,1,1
10669,75,109_WKD,1179049,CAPITOL SQUARE,0,Eastbound,207310,63999,75eQ,,61500,,,1,1
10669,75,109_WKD,1179061,CAPITOL SQUARE,0,Eastbound,207430,63999,75eQ,,61800,,,1,1
10669,75,109_WKD,1179050,CAPITOL SQUARE,0,Eastbound,207317,63999,75eQ,,62400,,,1,1
10669,75,109_WKD,1179051,CAPITOL SQUARE,0,Eastbound,207306,63999,75eQ,,63300,,,1,1
10669,75,109_WKD,1179062,CAPITOL SQUARE,0,Eastbound,207429,63999,75eQ,,64800,,,1,1
10669,75,109_WKD,1179052,CAPITOL SQUARE,0,Eastbound,207309,63999,75eQ,,65100,,,1,1
10669,75,109_WKD,1179053,CAPITOL SQUARE,0,Eastbound,207308,63999,75eQ,,66900,,,1,1
10669,75,109_WKD,1179074,EPIC CAMPUS,1,Westbound,207432,64001,75qE,,21120,,207432,1,1
10669,75,109_WKD,1179063,EPIC CAMPUS,1,Westbound,207316,64001,75qE,,22020,,207316,1,1
10669,75,109_WKD,1179075,EPIC CAMPUS,1,Westbound,207431,64001,75qE,,22920,,207431,1,1
10669,75,109_WKD,1179064,EPIC CAMPUS,1,Westbound,207315,64001,75qE,,23820,,207315,1,1
10669,75,109_WKD,1179065,EPIC CAMPUS,1,Westbound,207314,64001,75qE,,25620,,207314,1,1
10669,75,109_WKD,1179078,EPIC CAMPUS,1,Westbound,207432,64000,75cE,,25800,,207432,1,1
10669,75,109_WKD,1179066,EPIC CAMPUS,1,Westbound,207313,64001,75qE,,26820,,207313,1,1
10669,75,109_WKD,1179079,EPIC CAMPUS,1,Westbound,207431,64000,75cE,,27600,,207431,1,1
10669,75,109_WKD,1179067,EPIC CAMPUS,1,Westbound,207312,64001,75qE,,27720,,207312,1,1
10669,75,109_WKD,1179080,EPIC CAMPUS,1,Westbound,207432,64000,75cE,,29400,,207432,1,1
10669,75,109_WKD,1179068,EPIC CAMPUS,1,Westbound,207311,64001,75qE,,29520,,207311,1,1
10669,75,109_WKD,1179081,EPIC CAMPUS,1,Westbound,207431,64000,75cE,,31500,,207431,1,1
10669,75,109_WKD,1179069,EPIC CAMPUS,1,Westbound,207310,64001,75qE,,55620,,207310,1,1
10669,75,109_WKD,1179070,EPIC CAMPUS,1,Westbound,207306,64001,75qE,,57420,,207306,1,1
10669,75,109_WKD,1179076,EPIC CAMPUS,1,Westbound,207429,64001,75qE,,58020,,207429,1,1
10669,75,109_WKD,1179077,EPIC CAMPUS,1,Westbound,207430,64001,75qE,,58920,,207430,1,1
10669,75,109_WKD,1179071,EPIC CAMPUS,1,Westbound,207309,64001,75qE,,59220,,207309,1,1
10669,75,109_WKD,1179072,EPIC CAMPUS,1,Westbound,207308,64001,75qE,,61020,,207308,1,1
10669,75,109_WKD,1179082,EPIC CAMPUS,1,Westbound,207429,64000,75cE,,63000,,207429,1,1
10669,75,109_WKD,1179073,EPIC CAMPUS,1,Westbound,207307,64001,75qE,,63420,,207307,1,1
10675,A,109_WKD,1180396,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207487,64030,AiP,A1,17220,,207487,1,1
10675,A,109_WKD,1180397,2-AMERICAN CENTER VIA HIGH CROSSING,0,Eastbound,207486,64032,AbHc,A2,18120,,,1,1
10675,A,109_WKD,1180398,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207485,64031,AsP,A1,18660,,207485,1,1
10675,A,109_WKD,1180349,2-AMERICAN CENTER VIA HIGH CROSSING,0,Eastbound,207489,64024,AjHc,A2,19680,,,1,1
10675,A,109_WKD,1180332,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207495,64025,AjP,A1,21480,,207495,1,1
10675,A,109_WKD,1180368,2-AMERICAN CENTER,0,Eastbound,207491,64028,AjH,A2,22140,,,1,1
10675,A,109_WKD,1180333,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207496,64025,AjP,A1,22980,,207496,1,1
10675,A,109_WKD,1180369,2-AMERICAN CENTER,0,Eastbound,207490,64028,AjH,A2,23820,,,1,1
10675,A,109_WKD,1180350,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207487,64025,AjP,A1,24720,,207487,1,1
10675,A,109_WKD,1180370,2-AMERICAN CENTER,0,Eastbound,207486,64028,AjH,A2,25620,,,1,1
10675,A,109_WKD,1180334,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207488,64025,AjP,A1,26520,,207488,1,1
10675,A,109_WKD,1180371,2-AMERICAN CENTER,0,Eastbound,207493,64028,AjH,A2,27300,,,1,1
10675,A,109_WKD,1180351,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207497,64025,AjP,A1,28140,,207497,1,1
10675,A,109_WKD,1180372,2-AMERICAN CENTER,0,Eastbound,207489,64028,AjH,A2,29040,,,1,1
10675,A,109_WKD,1180335,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207498,64025,AjP,A1,29940,,207498,1,1
10675,A,109_WKD,1180373,2-AMERICAN CENTER,0,Eastbound,207492,64028,AjH,A2,30840,,,1,1
10675,A,109_WKD,1180352,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207494,64025,AjP,A1,31740,,207494,1,1
10675,A,109_WKD,1180374,2-AMERICAN CENTER,0,Eastbound,207491,64028,AjH,A2,32760,,,1,1
10675,A,109_WKD,1180336,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207495,64025,AjP,A1,33720,,207495,1,1
10675,A,109_WKD,1180375,2-AMERICAN CENTER,0,Eastbound,207490,64028,AjH,A2,34620,,,1,1
10675,A,109_WKD,1180353,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207496,64025,AjP,A1,35520,,207496,1,1
10675,A,109_WKD,1180376,2-AMERICAN CENTER,0,Eastbound,207486,64028,AjH,A2,36420,,,1,1
10675,A,109_WKD,1180337,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207487,64025,AjP,A1,37320,,207487,1,1
10675,A,109_WKD,1180377,2-AMERICAN CENTER,0,Eastbound,207493,64028,AjH,A2,38220,,,1,1
10675,A,109_WKD,1180354,1-SUN PRAIRIE VIA HIGH CROSSING,0,Eastbound,207488,64025,AjP,A1,39120,,207488,1,1
10675,A,109_WKD,1180378,2-AMERICAN CENTER,0,Eastbound,207489,64028,AjH,A2,40020,,,1,1
